GeneSymbol_Mouse,GeneSymbol_Human,Source,Daneman_Filter
Spsb1,SPSB1,Daneman,lung_only
Srf,SRF,Munji,NA
Srgap2,SRGAP2,Munji,NA
Srm,SRM,Daneman,lung_only
Srp9,SRP9,Daneman,lung_only
Srpk2,SRPK2,Daneman,liver_only
Ssbp4,SSBP4,Munji,NA
Ssr2,SSR2,Daneman,lung_only
Ssr4,SSR4,Daneman,lung_only
St3gal6,ST3GAL6,Munji,NA
St6gal1,ST6GAL1,Daneman,liver_only
St6galnac2,ST6GALNAC2,Both,liver_only
St6galnac3,ST6GALNAC3,Daneman,liver_only
St8sia4,ST8SIA4,Munji,NA
Stab1,STAB1,Daneman,lung_only
Stard10,STARD10,Daneman,liver_only
Stard3,STARD3,Daneman,lung_only
Stat1,STAT1,Daneman,liver_only
Stat3,STAT3,Daneman,liver_only
Steap3,STEAP3,Munji,NA
Stk11ip,STK11IP,Munji,NA
Stmn2,STMN2,Daneman,liver_only
Stom,STOM,Daneman,liver_only
Stra6,STRA6,Munji,NA
Stx12,STX12,Daneman,liver_only
Stx3,STX3,Daneman,liver_only
Stx6,STX6,Daneman,lung_only
Stxbp6,STXBP6,Daneman,liver_only
Sugp2,SUGP2,Munji,NA
Sulf2,SULF2,Daneman,liver_only
Surf6,SURF6,Munji,NA
Sycp3,SYCP3,Daneman,liver_only
Syne1,SYNE1,Daneman,liver_only
Synm,SYNM,Munji,NA
Synpo2,SYNPO2,Munji,NA
Syt7,SYT7,Both,liver_only
Sytl1,SYTL1,Munji,NA
Tacc2,TACC2,Daneman,liver_only
Tacc3,TACC3,Munji,NA
Tacr3,TACR3,Daneman,lung_only
Tada2a,TADA2A,Munji,NA
Tax1bp3,TAX1BP3,Daneman,lung_only
Tbc1d14,TBC1D14,Munji,NA
Tbc1d4,TBC1D4,Both,liver_only
Tbrg4,TBRG4,Daneman,lung_only
Tbx1,TBX1,Both,liver_only
Tbx2,TBX2,Daneman,liver_and_lung
Tbx3,TBX3,Daneman,liver_only
Tceal8,TCEAL8,Daneman,lung_only
Tcf19,TCF19,Daneman,lung_only
Tcf23,TCF23,Daneman,liver_only
Tchp,TCHP,Munji,NA
Tdg,TDG,Daneman,lung_only
Tecrl,TECRL,Munji,NA
Tenc1,TENC1,Daneman,liver_and_lung
Tes,TES,Daneman,lung_only
Trf,TF,Daneman,lung_only
Tfdp1,TFDP1,Daneman,lung_only
Tfpi,TFPI,Daneman,lung_only
Tfpi2,TFPI2,Daneman,lung_only
Tfrc,TFRC,Munji,NA
Tgfa,TGFA,Munji,NA
Tgfb2,TGFB2,Munji,NA
Tgfbi,TGFBI,Daneman,liver_and_lung
Tgfbr3,TGFBR3,Daneman,liver_only
Tgif2,TGIF2,Daneman,lung_only
Tgm2,TGM2,Daneman,liver_only
Thbd,THBD,Daneman,liver_only
Thra,THRA,Munji,NA
Thrsp,THRSP,Daneman,liver_only
Thsd1,THSD1,Munji,NA
Tiam1,TIAM1,Munji,NA
Tie1,TIE1,Daneman,lung_only
Timm13,TIMM13,Daneman,lung_only
Timm22,TIMM22,Daneman,lung_only
Timp3,TIMP3,Daneman,liver_only
Tiprl,TIPRL,Daneman,lung_only
Tkt,TKT,Daneman,lung_only
Tm4sf1,TM4SF1,Daneman,liver_only
Tm7sf3,TM7SF3,Daneman,liver_only
Tmc7,TMC7,Munji,NA
Tmcc2,TMCC2,Daneman,liver_only
Tmcc3,TMCC3,Daneman,liver_only
Tmeff1,TMEFF1,Both,liver_only
Tmem123,TMEM123,Munji,NA
Tmem14c,TMEM14C,Daneman,lung_only
Tmem184a,TMEM184A,Munji,NA
Tmem2,TMEM2,Daneman,lung_only
Tmem30a,TMEM30A,Daneman,liver_only
Tmem37,TMEM37,Daneman,lung_only
Tmem44,TMEM44,Daneman,lung_only
Tmem8,TMEM8A,Munji,NA
Tmub1,TMUB1,Munji,NA
Tnf,TNF,Daneman,lung_only
Tnfaip1,TNFAIP1,Daneman,lung_only
Tnfaip2,TNFAIP2,Daneman,lung_only
Tnfaip8l1,TNFAIP8L1,Daneman,lung_only
Tnfrsf19,TNFRSF19,Munji,NA
Tnfrsf21,TNFRSF21,Daneman,liver_and_lung
Tnfsf10,TNFSF10,Daneman,liver_only
Tnrc6c,TNRC6C,Daneman,liver_only
Tns1,TNS1,Daneman,liver_only
Tns3,TNS3,Daneman,liver_and_lung
Tob1,TOB1,Both,liver_only
Tomm20,TOMM20,Daneman,lung_only
Top1mt,TOP1MT,Munji,NA
Top2a,TOP2A,Daneman,lung_only
Tor3a,TOR3A,Daneman,liver_only
Trp53i11,TP53I11,Daneman,lung_only
Trp53inp1,TP53INP1,Daneman,liver_only
Tpcn1,TPCN1,Daneman,lung_only
Tpd52,TPD52,Both,liver_only
Tprn,TPRN,Munji,NA
Trappc1,TRAPPC1,Daneman,lung_only
Trim47,TRIM47,Daneman,liver_only
Trim6,TRIM6,Munji,NA
Trip6,TRIP6,Daneman,lung_only
Trpc1,TRPC1,Daneman,liver_and_lung
Trpm6,TRPM6,Munji,NA
Trrap,TRRAP,Daneman,liver_and_lung
Tsc22d1,TSC22D1,Munji,NA
Tsc22d3,TSC22D3,Daneman,liver_only
Tsc22d4,TSC22D4,Daneman,lung_only
Tspan18,TSPAN18,Daneman,lung_only
Tspan2,TSPAN2,Daneman,lung_only
Tspan4,TSPAN4,Daneman,lung_only
Tspan5,TSPAN5,Munji,NA
Tspan6,TSPAN6,Daneman,lung_only
Tspan7,TSPAN7,Daneman,lung_only
Tspyl1,TSPYL1,Daneman,liver_only
Tspyl4,TSPYL4,Daneman,liver_only
Tsta3,TSTA3,Daneman,lung_only
Ttll7,TTLL7,Munji,NA
Ttyh2,TTYH2,Munji,NA
Ttyh3,TTYH3,Daneman,lung_only
Tubb5,TUBB,Daneman,lung_only
Tubb6,TUBB6,Daneman,lung_only
Txnip,TXNIP,Daneman,liver_only
Txnl1,TXNL1,Daneman,lung_only
Tymp,TYMP,Munji,NA
Uap1,UAP1,Daneman,liver_only
Ube2a,UBE2A,Daneman,lung_only
Ube2b,UBE2B,Daneman,liver_only
Ube2d3,UBE2D3,Daneman,lung_only
Ube2e2,UBE2E2,Daneman,lung_only
Ube2i,UBE2I,Daneman,lung_only
Ube2l3,UBE2L3,Daneman,lung_only
Ube2m,UBE2M,Daneman,lung_only
Ube2n,UBE2N,Daneman,liver_only
Ube3b,UBE3B,Daneman,liver_and_lung
Ube4b,UBE4B,Daneman,lung_only
Ubl3,UBL3,Daneman,liver_only
Ubl4,UBL4A,Daneman,liver_only
Ubtd1,UBTD1,Daneman,lung_only
Uchl1,UCHL1,Daneman,liver_and_lung
Ucp2,UCP2,Daneman,liver_only
Ufc1,UFC1,Daneman,lung_only
Uhrf1bp1,UHRF1BP1,Munji,NA
Unc13b,UNC13B,Daneman,liver_only
Unc13c,UNC13C,Munji,NA
Uqcrc1,UQCRC1,Daneman,lung_only
Uqcrh,UQCRHL,Daneman,lung_only
Urod,UROD,Daneman,lung_only
Usp18,USP18,Daneman,liver_only
Usp3,USP3,Daneman,lung_only
Usp33,USP33,Munji,NA
Usp42,USP42,Munji,NA
Usp53,USP53,Munji,NA
Usp54,USP54,Both,liver_only
Utp14b,UTP14C,Munji,NA
Utrn,UTRN,Both,liver_only
Vamp4,VAMP4,Daneman,liver_only
Vangl2,VANGL2,Munji,NA
Vasp,VASP,Daneman,lung_only
Vav3,VAV3,Daneman,lung_only
Vcam1,VCAM1,Daneman,liver_only
Vcp,VCP,Daneman,lung_only
Vdac1,VDAC1,Daneman,lung_only
Vil1,VIL1,Munji,NA
Vps36,VPS36,Daneman,liver_only
Vps41,VPS41,Daneman,liver_only
Vstm2b,VSTM2B,Munji,NA
Vtn,VTN,Daneman,liver_and_lung
Vwa1,VWA1,Munji,NA
Wasf3,WASF3,Munji,NA
Wdr1,WDR1,Daneman,lung_only
Wdr26,WDR26,Daneman,lung_only
Wdr6,WDR6,Daneman,lung_only
Wdr83,WDR83,Munji,NA
Wfdc1,WFDC1,Daneman,liver_only
Wnk1,WNK1,Daneman,liver_only
Wnk2,WNK2,Munji,NA
Wnt5a,WNT5A,Munji,NA
Wsb2,WSB2,Daneman,lung_only
Wwtr1,WWTR1,Daneman,lung_only
Xdh,XDH,Daneman,liver_only
Ywhab,YWHAB,Daneman,liver_and_lung
Zbtb20,ZBTB20,Daneman,liver_only
Zbtb34,ZBTB34,Daneman,lung_only
Zbtb4,ZBTB4,Daneman,liver_only
Zbtb41,ZBTB41,Daneman,liver_only
Zbtb45,ZBTB45,Munji,NA
Zc3h4,ZC3H4,Munji,NA
Zcchc2,ZCCHC2,Daneman,liver_only
Zcchc6,ZCCHC6,Daneman,liver_only
Zdhhc14,ZDHHC14,Daneman,liver_only
Zfp3,ZFP3,Munji,NA
Zfp37,ZFP37,Daneman,liver_only
Zfp69,ZFP69,Daneman,lung_only
Zhx3,ZHX3,Daneman,liver_only
Zic1,ZIC1,Daneman,liver_and_lung
Zic2,ZIC2,Munji,NA
Zic3,ZIC3,Munji,NA
Zic5,ZIC5,Both,liver_only
Zmynd19,ZMYND19,Munji,NA
Zfp219,ZNF219,Munji,NA
Zfp647,ZNF250,Munji,NA
Zfp110,ZNF274,Daneman,liver_only
Zfp366,ZNF366,Munji,NA
Zfp383,ZNF383,Daneman,liver_only
Zfp423,ZNF423,Munji,NA
Zfp521,ZNF521,Daneman,lung_only
Zfp668,ZNF668,Munji,NA
Zfp707,ZNF707,Munji,NA
Zfp865,ZNF865,Munji,NA
Znrf3,ZNRF3,Munji,NA
Zswim1,ZSWIM1,Munji,NA
Zwint,ZWINT,Daneman,lung_only
Zyx,ZYX,Daneman,lung_only
