Gene,Liver_nTPM,Brain_nTPM
CYP3A7,285.4,0
AKR1C3,285.4,0
TRIR,285,0
NUCB1,283.9,0
MLF2,283.1,0
FAH,282.9,0
SARAF,282.9,0
IGFBP7,282.7,0
MGAT4B,281.1,0
BLVRB,279.3,0
GNMT,278.9,0
ST13,276.6,0
HAAO,276.6,0
CREG1,275.9,0
LCAT,275.5,0
S100A9,273.1,0
ATOX1,272.9,0
NIPSNAP1,272.7,0
UGT2B15,272.2,0
COX7B,270.7,0
SELENBP1,270.2,0
ALDH3A2,269.4,0
SLC27A2,269.2,0
COMT,268,0
METTL7B,267.4,0
TBCA,267.4,0
EIF4G2,265.8,0
DMGDH,265.4,0
PROS1,264.9,0
CRYZ,264.3,0
SERPINA7,263.9,0
NDUFB11,263.5,0
NDUFC2,262.9,0
ISOC2,262.8,0
MBL2,262.8,0
C4B,262.1,0
TMEM205,261.5,0
SLC9A3R1,261.4,0
CAPNS1,261.3,0
S100A8,260.8,0
FCN3,260.7,0
TMA7,260.5,0
SUCLG2,259.9,0
HNRNPA1,259.5,0
PEMT,259.1,0
ESD,258.9,0
LIME1,258.7,0
ACSM5,258.6,0
SDHA,258.1,0
RNASEK,257.6,0
ACY1,257.3,0
ANPEP,256.4,0
RHOA,255.2,0
MSRB1,255.1,0
MYDGF,254.5,0
G6PC1,253.6,0
ACADS,253.5,0
ALDOA,253.5,0
ARL6IP4,253.5,0
SORD,253.4,0
DNASE1L3,253.4,0
TMED2,253.3,0
FH,252.7,0
OS9,252.5,0
CNDP2,252.4,0
PSME2,252.1,0
IDH2,251.2,0
SLPI,250.9,0
GHITM,249.9,0
DYNLL1,249.4,0
MTTP,249.2,0
NDUFB8,248.4,0
SLCO1B3,247.7,0
AURKAIP1,247.2,0
RPL37,247.1,0
EIF1,246.5,0
ENTPD5,246.5,0
GSTZ1,245.7,0
CIAO2A,245.2,0
ARPC3,245,0
ROMO1,245,0
RPS28,245,0
ETFA,244.8,0
IFITM1,244,0
RASD1,243.9,0
UQCRH,243.7,0
PDIA6,243.5,0
ADH5,242.6,0
PGLYRP2,241.7,0
C11orf54,241.6,0
MORF4L1,241.6,0
SERINC2,241,0
HSD17B10,240.8,0
ATP5MC1,240.6,0
CD164,240.1,0
ZFP36L1,239.7,0
RCAN1,239.5,0
NDUFA3,238.8,0
DDIT4,238.4,0
KRTCAP2,238.3,0
DHRS3,238.1,0
CRYL1,237.5,0
APOA4,236.9,0
CBR1,236.4,0
TTC36,235.3,0
CD99,235.2,0
PDIA4,235.2,0
TOMM6,234.7,0
CTSZ,234.6,0
PLGLB1,234.5,0
SLIRP,234.3,0
TAGLN,233.7,0
FUOM,233.2,0
EI24,232.2,0
COX17,231.3,0
ALDH8A1,231.1,0
VAMP8,230.7,0
NOP53,230.3,0
HNMT,229.7,0
MRFAP1,229.6,0
RCL1,229.4,0
FKBP2,229.3,0
C1QB,229.2,0
FKBP8,229,0
UQCRC2,228.9,0
SEC14L2,227.8,0
ECI1,227.8,0
CEBPB,227.8,0
F11,227.2,0
TTC38,226.4,0
HSD17B11,225.9,0
SERINC1,225.6,0
ORMDL3,225.6,0
ETS2,225.2,0
NDUFS6,224.6,0
NAMPT,224.4,0
HJV,223.7,0
HGFAC,223.6,0
SRGN,223.6,0
SHMT2,222.9,0
ATP6V0E1,222.7,0
TSKU,222,0
SEC61G,221.4,0
ALDH9A1,221.3,0
BST2,221.2,0
NOP10,221.2,0
HAGH,220.8,0
QPRT,220.5,0
AIG1,220,0
PSME1,219.7,0
ETNK2,219.7,0
FETUB,219.3,0
ARHGDIA,219.2,0
UGT2B10,218.6,0
TUBA1B,218.6,0
CYP4F3,217.9,0
AKR7A3,217.7,0
GOLT1A,217.2,0
CNIH1,217.1,0
BLOC1S1,217,0
SNRPD2,216.6,0
C1QA,216.6,0
SURF4,216.2,0
POMP,215,0
WDR83OS,214.1,0
HTRA1,214,0
LMAN2,213.3,0
CALD1,212.7,0
MRPL34,211.8,0
RPN1,211.6,0
GBA3,211.1,0
CMPK1,211,0
HADH,210.9,0
IL1RAP,210.8,0
CSDE1,210.5,0
SRP14,210.3,0
NEDD8,209.6,0
QDPR,209.2,0
CIB1,209.1,0
PDK4,208.9,0
PSMA7,208.7,0
MTARC2,208.6,0
UQCRB,208.4,0
PSMB7,208.1,0
CUTA,208,0
HDGF,207.9,0
C1orf43,207.6,0
SLC25A1,206.9,0
IL1RN,206.7,0
MDH2,206.6,0
FIS1,206.6,0
RER1,206.3,0
EIF3K,206,0
COX14,205.6,0
LIPA,204.6,0
SEC11C,204.5,0
CPN2,204.5,0
PTGES3,204.4,0
VNN1,204.4,0
EIF4B,204.1,0
PILRB,203.9,0
NDUFB10,203.8,0
TMEM219,203.8,0
HSD17B2,203.6,0
DNAJA1,202.8,0
ATP6V0C,202.4,0
VEGFA,202,0
TCIM,200.6,0
CYP4A22,199.9,0
JTB,199.6,0
PLIN5,199.6,0
GHR,199.5,0
S100A16,199.1,0
RABAC1,198.9,0
HMGN2,198.9,0
POLD4,198.2,0
CEBPA,198.2,0
YWHAE,198.1,0
C12orf57,197.9,0
HYAL1,197.5,0
RPN2,197.4,0
HPGD,197.1,0
FURIN,196.7,0
RAN,196.5,0
ALAD,196.1,0
CALM1,195.7,0
TMEM256,195.4,0
PABPN1,195.3,0
EIF4H,194.6,0
NFKBIA,194.5,0
BHLHE40,194.1,0
FASN,192.6,0
GLS2,191.6,0
ZFAND5,191.4,0
SULT1A1,191.2,0
RRBP1,190.5,0
PRELID1,190.4,0
TM4SF5,190.2,0
BCAP31,190.2,0
EIF4A2,189.3,0
CYP51A1,188.9,0
PLS3,188.9,0
NPC2,188.9,0
PCCB,188.7,0
SLC25A6,188.6,0
SOD2,188.1,0
PRODH2,187.9,0
CIRBP,187.4,0
F13B,187.2,0
GUK1,186.8,0
AK3,186.7,0
MMUT,186.1,0
EIF3E,186,0
SNX3,185.9,0
COPE,185.8,0
HERPUD1,185.5,0
DAZAP2,185.5,0
HIBADH,185,0
TMEM230,184.9,0
MRPL12,184.6,0
SF3B5,184.5,0
HAL,184.4,0
LENG8,184.4,0
PXDC1,184.4,0
CYP2C18,184.2,0
PRXL2A,184.2,0
FAM162A,184.1,0
CYC1,183.9,0
WBP2,183.6,0
UGT1A9,183.6,0
GPT,183.4,0
TLE5,182.5,0
MMADHC,182.2,0
HLA-DPA1,182.1,0
NDUFA2,181.7,0
NDUFB3,181.2,0
SEC62,181.1,0
OSTC,181.1,0
ANAPC11,181,0
SUCLG1,180.3,0
VIM,180.2,0
RAB1A,179.3,0
SLC66A2,179,0
H1-0,179,0
RPS19BP1,178.9,0
MRPS24,178.8,0
ETNPPL,178.6,0
EVA1A,178.5,0
YWHAZ,178.4,0
SELENOW,178.4,0
ATP5MJ,178.3,0
PSMB3,178.2,0
LAP3,178,0
CYP2C19,178,0
GNB2,178,0
TRAM1,177.8,0
NDUFB4,177.4,0
CBS,177.4,0
PGAM1,176.9,0
EIF6,176.8,0
AHCY,176.6,0
GGH,176.5,0
NAPA,176.3,0
CDKN1A,175.9,0
CARHSP1,175.5,0
ECHDC2,174.8,0
CITED2,174.6,0
LAMP1,174.4,0
DECR2,174.4,0
C11orf96,173.8,0
PRG4,173.7,0
RNF167,173.5,0
KHK,173.3,0
DIO1,173.3,0
CDK2AP2,173.2,0
ANXA2,173.2,0
SUMO2,173.1,0
CHP1,173,0
NDUFAB1,172.8,0
GLDC,172.7,0
PSMB6,172.4,0
NME4,171.9,0
PON2,171.7,0
DUSP23,171.7,0
ENSG00000256514,171.7,0
SRSF5,171.6,0
MASP1,171.6,0
ABHD14B,171.2,0
DUS1L,171.2,0
TMBIM1,170.6,0
PLPP3,170.3,0
ESPN,170.3,0
PABPC1,170.1,0
MRPL23,170,0
CYB5R3,169.8,0
PPIF,169.6,0
LMAN1,169.4,0
LAMTOR2,169.4,0
USF2,169.3,0
ERGIC3,169,0
MTHFS,168.9,0
BCL3,168.5,0
APOL1,168.3,0
HNRNPDL,168.3,0
SDF2L1,167.9,0
SIGMAR1,167.8,0
AMACR,167.6,0
GRAMD4,167.3,0
GCGR,167.2,0
AFMID,166.7,0
ACSM3,166.3,0
NDUFS7,166.2,0
PRR13,166,0
ATP6V0B,165.8,0
ACOX2,165.8,0
SLC39A5,165.6,0
SLC7A2,165.3,0
FCER1G,165.1,0
IDI1,164.9,0
PSMD4,164.9,0
SEC31A,163.2,0
PCYT2,163.1,0
ALKBH7,163,0
GLRX,163,0
GPRC5C,162.9,0
HIGD2A,162.8,0
CYP2A7,162.8,0
SDCBP,162.7,0
SUMO1,162.6,0
POLDIP2,162.5,0
GYS2,162.5,0
RPS4Y1,162.5,0
SELENOF,162.5,0
PGRMC2,162.4,0
SIVA1,161.9,0
PSMA6,161.4,0
ALDH1B1,161.4,0
TMEM259,161.1,0
CMBL,160.9,0
GANAB,160.6,0
UQCR10,160.6,0
HNRNPF,160.2,0
LIPC,159.9,0
IGLC3,159.8,0
HINT2,159.7,0
SRPRA,159.6,0
ACSL5,159.5,0
IGKV1D-39,159.5,0
MRPL51,159,0
NFE2L2,159,0
NR1I3,158.8,0
ENSG00000289697,158.5,0
CRLS1,158.4,0
TM9SF2,158.3,0
C1QC,157.9,0
ECHDC3,157.5,0
NDUFS8,156.9,0
PPP1R3C,156.6,0
CANX,156.6,0
C7,156.3,0
RNF130,156.2,0
CFHR5,156.2,0
AK2,156.1,0
CYP4F2,155.9,0
CRHBP,155.7,0
DAP,155.5,0
GATD3,155.5,0
MGST3,155.4,0
ACTA2,154.5,0
TNFRSF1A,154.3,0
TTPA,154.2,0
INHBC,154.2,0
GADD45A,154.1,0
ARF5,153.7,0
BRI3,153.6,0
SH3BGRL3,153,0
VPS28,152.9,0
PPP2R1B,152.7,0
SAR1B,152.5,0
UPB1,152.4,0
OAT,152,0
ACMSD,151.9,0
TMCO1,151.8,0
COA3,151.8,0
ALDH7A1,151.7,0
PSMA3,151.6,0
TRMT112,150.6,0
MANF,150.2,0
CCL2,150.1,0
PTPA,149.9,0
HADHA,149.8,0
CHMP2A,149.8,0
PDLIM1,149.7,0
PECR,149.7,0
F10,149.7,0
OSGIN1,149.7,0
TXN2,149.2,0
PCSK6,149.2,0
ETFDH,148.9,0
DGCR6L,148.5,0
TMEM258,148.2,0
SERP1,148,0
SPARC,147.9,0
DDX17,147.7,0
LAMTOR5,147.7,0
GLO1,147.5,0
GNG5,147.5,0
DDX5,147.2,0
CHPT1,147.2,0
TUFM,147,0
DPM3,147,0
CD68,146.3,0
YIF1A,146.3,0
TALDO1,146.2,0
MRPL52,146.1,0
ATP5MG,145.8,0
PRKCSH,145.3,0
CIAO2B,144.9,0
PSMA4,144.3,0
BRK1,144.3,0
HNRNPA3,144.2,0
COPG1,143.3,0
RDH11,143.2,0
CD4,143.1,0
A1CF,143.1,0
ASPG,142.8,0
ARPC2,142.7,0
ZSWIM8,142.7,0
MICOS13,142.6,0
MPC2,142.4,0
SEC11A,142.3,0
GCLC,142.2,0
SPCS2,142,0
LPIN2,141.2,0
PPDPF,140.9,0
SCAND1,140.8,0
ENSA,140.7,0
S100A6,140.6,0
SLC25A13,140.4,0
PPA1,140.4,0
NR0B2,140.3,0
DAO,139.9,0
GNAI2,139.9,0
EGR1,139.9,0
ANXA5,139.7,0
LAMTOR4,139.4,0
HSDL2,139.3,0
TUBB4B,139,0
EIF3I,138.9,0
GLYCTK,138.9,0
RAB11B,138.9,0
HMGN3,138.4,0
CTNNB1,138.3,0
SLC25A39,138.2,0
GPD1,138,0
FAM107B,137.7,0
HSPA9,137.3,0
IFI27,137.1,0
DHRS7,136.7,0
SF3B1,136.7,0
CYP2J2,136.7,0
HNRNPH1,136.5,0
PRKAR1A,136.4,0
HEBP1,136.2,0
PYGL,136.2,0
IVD,135.9,0
RAB7A,135.8,0
DDX39B,135.6,0
PPP1R3B,135.4,0
FKBP5,135.2,0
PREB,135.2,0
CD151,135.1,0
MKNK2,134.7,0
PGK1,134.5,0
SLC37A4,134.4,0
SRRM2,134.3,0
C1RL,134.2,0
UGT1A6,134.2,0
INHBE,134.1,0
EIF3C,133.6,0
NDUFA12,133.5,0
XRCC6,133.4,0
TCEA3,133.4,0
MS4A6A,133.3,0
PPP1R1A,133.3,0
GCKR,133,0
DNPH1,133,0
KLF6,132.6,0
SPCS1,132.4,0
EPN1,132.3,0
DSTN,132.1,0
HSD3B7,131.6,0
RAD23B,131.6,0
XRCC5,131.5,0
RAP1B,131.5,0
DEPP1,131.5,0
SAT2,131.3,0
DDOST,131.3,0
NDUFA4,131.2,0
ATF3,130.6,0
FAXDC2,130.6,0
TRIB1,130.5,0
CALM3,130.4,0
RAB1B,130.3,0
PSMA1,130,0
EIF3G,130,0
ARHGDIB,129.8,0
PTTG1IP,129.8,0
PNN,129.6,0
TMPRSS6,129.5,0
RNF181,129.3,0
UXT,129.2,0
CDHR5,129.1,0
ASPDH,129.1,0
LYZ,128.8,0
UGDH,128.7,0
F7,128.6,0
H1-2,128.5,0
HEXB,128.4,0
MGAT1,128.4,0
TXNDC5,128.4,0
SET,128.1,0
TGOLN2,128,0
NXF1,127.9,0
LAMP2,127.8,0
SMIM19,127.7,0
CLPTM1L,127.6,0
HMOX1,127.5,0
RPL36A-HNRNPH2,127.4,0
NADK,127.3,0
SEC61A1,127.2,0
CLUH,127.2,0
LGALS4,127.1,0
IFI6,127,0
RAC1,126.8,0
CDC42EP1,126.6,0
TECR,126.4,0
MIA2,126.3,0
MRPL33,126.3,0
SUB1,126.2,0
LDHD,126,0
MGMT,125.9,0
ACO1,125.8,0
CCDC152,125.8,0
UBE2L6,125.6,0
CCNI,125,0
RHOD,124.9,0
MRPS15,124.6,0
PPP1CA,124.6,0
SELENOH,124.4,0
CHRD,124.3,0
FAM174C,124.3,0
C11orf58,124.1,0
AP2M1,124,0
EBNA1BP2,123.9,0
CMTM6,123.8,0
ATP1A1,123.8,0
MPRIP,123.7,0
SF3B6,123.6,0
