Gene,Liver_nTPM,Brain_nTPM
ANKHD1,51.5,0
PIEZO1,51.4,0
RAB26,51.4,0
HSPB11,51.3,0
MGRN1,51.3,0
TIMM8B,51.3,0
MRPS22,51.3,0
IGKV3-11,51.3,0
TOM1,51.2,0
ECE1,51.2,0
NT5E,51.2,0
C11orf1,51.2,0
CD52,51.2,0
ANXA1,51.1,0
CES3,51.1,0
PIGP,51.1,0
AGFG2,51,0
RNPEPL1,51,0
TMEM140,51,0
GRB2,51,0
CLEC4G,51,0
NOL3,50.9,0
CAMK2N1,50.9,0
PITHD1,50.8,0
FUS,50.8,0
METRN,50.8,0
IRF1,50.8,0
AGPAT3,50.8,0
GADD45GIP1,50.8,0
GOLGA5,50.7,0
CAPN5,50.7,0
PSMC2,50.7,0
RPP25L,50.7,0
FAM114A1,50.7,0
MAD2L2,50.6,0
PMM2,50.6,0
PPT1,50.5,0
CCT6A,50.4,0
TWF1,50.4,0
EHBP1,50.3,0
UNC5CL,50.3,0
FGFRL1,50.3,0
AKT1,50.3,0
HMCES,50.3,0
NMRK1,50.2,0
ZKSCAN1,50.1,0
RGS3,50.1,0
PPP4R2,50.1,0
IRF2BP2,50.1,0
TAF9,50.1,0
TPD52L2,50,0
CHMP4A,50,0
NFKBIZ,49.9,0
SPSB3,49.9,0
SDHAF2,49.9,0
SUPT5H,49.9,0
SIRPA,49.8,0
FAM50A,49.7,0
ADD1,49.7,0
ART4,49.7,0
ZFAND3,49.7,0
PFKFB1,49.7,0
JAK1,49.7,0
AKIRIN1,49.7,0
SH3BGRL2,49.7,0
DELE1,49.6,0
NRP1,49.6,0
TSPAN8,49.6,0
UBAP1,49.6,0
CDC26,49.6,0
QARS1,49.5,0
IGLV1-51,49.5,0
LEPROT,49.5,0
CPVL,49.4,0
UFM1,49.4,0
TRAF7,49.4,0
TMEM254,49.4,0
FAM193B,49.4,0
ABCC3,49.3,0
ATP2A2,49.3,0
CHURC1,49.3,0
YBX3,49.2,0
KANK2,49.2,0
HNRNPUL1,49.1,0
GPNMB,49.1,0
RAB20,49.1,0
CXCL16,49.1,0
ELOVL2,49.1,0
DAZAP1,49,0
EFHD1,49,0
GRSF1,49,0
GOLGA7,49,0
NAGS,49,0
LEMD2,49,0
HARS1,49,0
TSSC4,49,0
NCSTN,48.9,0
AP2A1,48.9,0
BCO2,48.9,0
TEN1,48.9,0
ANAPC5,48.8,0
ACO2,48.7,0
NME3,48.7,0
JOSD2,48.7,0
CCL19,48.7,0
NADSYN1,48.7,0
NDUFS1,48.6,0
SEC24D,48.6,0
CLDN12,48.6,0
LSM10,48.6,0
TMED5,48.5,0
PYURF,48.5,0
RPS6KB2,48.5,0
PIGY,48.5,0
AKAP1,48.4,0
TOMM40,48.4,0
AFDN,48.4,0
NUMB,48.4,0
MTG1,48.4,0
PPP2R5A,48.3,0
HIF1A,48.3,0
ZNF330,48.3,0
HACL1,48.3,0
TMEM222,48.3,0
ATP6V1D,48.2,0
DBNL,48.2,0
MRPL49,48.2,0
TSPAN13,48.1,0
MLX,48.1,0
PRPS1,48.1,0
STX5,48.1,0
RAB8A,48.1,0
MED4,48,0
CCDC107,48,0
TDP2,47.9,0
CNPPD1,47.9,0
BCAS2,47.9,0
TRAPPC3,47.8,0
MXI1,47.8,0
NIPSNAP3A,47.8,0
SYBU,47.8,0
CELF1,47.8,0
MYO1E,47.8,0
MACROD1,47.7,0
AIMP1,47.7,0
MRPL13,47.7,0
RNASET2,47.6,0
EDNRB,47.6,0
SKIC8,47.6,0
VSIG4,47.6,0
SULT1A2,47.6,0
TMEM106B,47.5,0
UCHL3,47.5,0
HSPH1,47.5,0
SLC17A4,47.5,0
CCNL1,47.5,0
PCSK9,47.5,0
PES1,47.4,0
AVPI1,47.4,0
NREP,47.4,0
WTAP,47.4,0
ITGA5,47.4,0
SFPQ,47.3,0
KHDRBS1,47.3,0
YES1,47.3,0
TIMM50,47.2,0
ELF1,47.2,0
IMPA2,47.2,0
EIF4EBP2,47.2,0
ZDHHC12,47.2,0
TMEM203,47.2,0
IGFLR1,47.1,0
NSDHL,47.1,0
GRK2,47.1,0
R3HDM4,47.1,0
FAM234A,47,0
MED16,47,0
TMEM86B,47,0
REXO2,46.9,0
RAB32,46.9,0
CYB5R1,46.9,0
AASS,46.8,0
CLDND1,46.8,0
KIAA0930,46.8,0
CSK,46.8,0
FAM149A,46.8,0
CREBL2,46.8,0
UFD1,46.7,0
BUD23,46.7,0
SH3D19,46.7,0
ANXA11,46.7,0
EAPP,46.7,0
PGPEP1,46.7,0
ZBTB7B,46.7,0
RING1,46.7,0
NPC1L1,46.6,0
DNAJB6,46.6,0
CDC16,46.6,0
THEM6,46.6,0
GPS2,46.6,0
NDUFA9,46.6,0
COL6A1,46.6,0
SLC4A2,46.6,0
TPST1,46.6,0
MTPN,46.5,0
GTF2A2,46.5,0
FN3K,46.5,0
BCAM,46.5,0
SZRD1,46.4,0
PCNP,46.4,0
CBR4,46.4,0
TIMM17B,46.3,0
CYP7A1,46.3,0
FAM3C,46.3,0
CYP21A2,46.3,0
ACIN1,46.2,0
TMEM248,46.2,0
LGALS8,46.2,0
SLC17A1,46.2,0
MIX23,46.2,0
GFM1,46.2,0
MRPL22,46.1,0
SRSF7,46.1,0
LRRFIP1,46.1,0
LARP1B,46.1,0
CXADR,46.1,0
BSDC1,46.1,0
SARNP,46.1,0
RNF19A,46,0
STK25,46,0
CLSTN3,46,0
SETD7,46,0
ATP6V1B2,46,0
SMG5,46,0
C17orf49,46,0
ITPK1,45.9,0
TBCB,45.9,0
NUDT22,45.9,0
KLHDC2,45.9,0
TMEM129,45.9,0
ABCG8,45.8,0
SLC20A1,45.8,0
SRP19,45.8,0
TMED4,45.8,0
AIDA,45.8,0
PPP1R11,45.8,0
NPIPB5,45.8,0
RNF114,45.7,0
USP9X,45.7,0
PHF10,45.7,0
TMEM126A,45.7,0
PRKAG1,45.7,0
MKKS,45.7,0
NOSIP,45.6,0
DESI1,45.5,0
RHOT2,45.5,0
RAB10,45.4,0
ATP11C,45.4,0
CD99L2,45.4,0
CUEDC2,45.4,0
ARF6,45.4,0
RUVBL2,45.4,0
JPT1,45.4,0
CNOT7,45.4,0
SCO2,45.4,0
GCLM,45.3,0
SEPHS1,45.3,0
ESRP2,45.3,0
PRKAA1,45.3,0
RNF185,45.3,0
MFAP4,45.3,0
SHARPIN,45.3,0
HACD2,45.3,0
MPND,45.2,0
LRRFIP2,45.2,0
PSMD14,45.2,0
SMUG1,45.2,0
BID,45.1,0
RFFL,45.1,0
SYF2,45.1,0
GAA,45.1,0
PRPF31,45,0
PPM1G,45,0
PEX16,45,0
ORMDL1,45,0
RPL7L1,45,0
ENTR1,45,0
DNM2,44.9,0
ANAPC15,44.9,0
STK16,44.9,0
ORMDL2,44.9,0
COMMD7,44.9,0
MFF,44.9,0
PPP4R3B,44.9,0
VAMP7,44.8,0
WARS1,44.8,0
OTUB1,44.8,0
ALCAM,44.8,0
HSF1,44.8,0
PAF1,44.7,0
RPL26L1,44.7,0
AIP,44.7,0
STX8,44.7,0
RETREG1,44.6,0
INTS10,44.5,0
PIH1D1,44.5,0
YARS1,44.5,0
TCTA,44.5,0
TRPT1,44.5,0
TOP1,44.5,0
ERGIC2,44.4,0
MRPS25,44.4,0
UBE2J2,44.4,0
RPL22L1,44.4,0
FBXO8,44.4,0
OGA,44.4,0
LBR,44.3,0
NR1I2,44.3,0
AS3MT,44.3,0
ELOVL1,44.2,0
AK6,44.2,0
ALG2,44.2,0
STX16,44.2,0
RSAD1,44.2,0
RAB43,44.2,0
ARHGAP1,44.2,0
SETD3,44.2,0
ZC3H3,44.1,0
TMEM214,44.1,0
PPIG,44.1,0
MBNL1,44.1,0
MFSD3,44.1,0
FNTA,44.1,0
PTPN11,44.1,0
NISCH,44,0
ERI3,44,0
INTS11,44,0
ECSIT,44,0
PPP1R15B,44,0
ALG8,44,0
LRRC28,44,0
METTL23,44,0
STXBP2,43.9,0
PMPCB,43.9,0
MAL2,43.9,0
SPTSSA,43.9,0
MRPL58,43.9,0
GAK,43.9,0
WASL,43.8,0
UNC50,43.8,0
ACSS2,43.8,0
METTL5,43.8,0
VAV2,43.8,0
CKAP5,43.8,0
TBX15,43.7,0
CD53,43.7,0
CTSF,43.7,0
ENSG00000276256,43.7,0
TXLNA,43.6,0
MAPKAP1,43.6,0
ESYT1,43.6,0
INO80E,43.6,0
DCTN6,43.5,0
ABHD17A,43.5,0
NUDT9,43.5,0
NPIPA1,43.5,0
APOL6,43.5,0
HOMER2,43.4,0
SELENOK,43.4,0
TRIP12,43.4,0
RBKS,43.4,0
SLC35B1,43.3,0
SLC22A9,43.3,0
TXNRD1,43.3,0
IGHV1-69D,43.3,0
CPNE3,43.2,0
CLIP1,43.2,0
ELP2,43.2,0
SEC24B,43.2,0
FXN,43.2,0
MYADM,43.2,0
STK40,43.2,0
LUC7L,43.1,0
GPLD1,43.1,0
GARS1,43,0
MRPL35,43,0
ARRDC1,43,0
CYB5B,42.9,0
MACROH2A1,42.9,0
ARF3,42.9,0
DDX56,42.9,0
HPRT1,42.9,0
CORO1B,42.9,0
THRAP3,42.8,0
RNF126,42.8,0
GFER,42.8,0
IAH1,42.8,0
ISCA1,42.8,0
THNSL2,42.8,0
SNRPE,42.8,0
CUL3,42.7,0
GINM1,42.7,0
ANO1,42.7,0
ARL8A,42.7,0
MAIP1,42.7,0
MTX1,42.7,0
SEC24C,42.7,0
CHRDL2,42.6,0
TP53INP2,42.6,0
OBSL1,42.6,0
RRAS,42.6,0
SYNCRIP,42.6,0
PTRH2,42.6,0
PARL,42.6,0
SPOUT1,42.6,0
USP22,42.5,0
MYD88,42.5,0
VTA1,42.4,0
UBE2K,42.4,0
ANTKMT,42.4,0
BNIP3L,42.4,0
ITFG1,42.4,0
EMILIN1,42.4,0
IFNGR2,42.4,0
SRP72,42.4,0
CDIP1,42.3,0
VTI1B,42.3,0
MOCS1,42.3,0
BTBD6,42.3,0
IGLV3-25,42.3,0
CUL1,42.2,0
CIC,42.2,0
RWDD1,42.2,0
NRBF2,42.2,0
TMEM192,42.2,0
CNP,42.2,0
CLDN2,42.1,0
CAPN1,42,0
SH3GLB1,42,0
GGA1,42,0
AHR,42,0
ZNF787,42,0
ZNG1E,42,0
PAXX,42,0
KCMF1,42,0
MSL1,42,0
DYNLT3,41.9,0
ZNF664,41.9,0
LRP10,41.9,0
GET3,41.9,0
IGHG4,41.9,0
MANBAL,41.8,0
DHX15,41.8,0
FOLR2,41.8,0
COL27A1,41.8,0
RAB27A,41.7,0
ARSA,41.7,0
PPARGC1A,41.7,0
TTC1,41.7,0
TMEM106C,41.7,0
TMEM263,41.7,0
SLC25A27,41.7,0
CEP57,41.7,0
CRTAP,41.7,0
DNAJC19,41.7,0
CNN2,41.6,0
ICAM3,41.6,0
VAT1,41.6,0
EFR3A,41.6,0
ERAL1,41.6,0
RBM17,41.6,0
ACOT1,41.6,0
SNAP23,41.5,0
HOOK2,41.5,0
UBXN8,41.5,0
ERF,41.5,0
ITPR2,41.5,0
CHMP1A,41.5,0
TXNDC11,41.5,0
CAPN3,41.4,0
SMS,41.4,0
CPED1,41.4,0
ATP13A3,41.4,0
HS6ST1,41.4,0
FDX1,41.4,0
SIK1,41.4,0
TIPARP,41.4,0
PYM1,41.4,0
CYP4F12,41.4,0
SLC39A9,41.3,0
KLF3,41.3,0
BIRC2,41.3,0
DARS1,41.3,0
ZNF428,41.3,0
LYVE1,41.3,0
UBE2F,41.3,0
SEMA4B,41.3,0
UBE2H,41.3,0
ZNF511,41.3,0
PPM1B,41.2,0
MRPS18C,41.2,0
PLIN1,41.2,0
ATG13,41.2,0
GPBP1,41.1,0
SNX10,41.1,0
CMC2,41.1,0
LTA4H,41.1,0
ARL8B,41.1,0
TPM4,41.1,0
TVP23B,41.1,0
BNIP2,41,0
GFOD2,41,0
PIGT,40.9,0
MAN2C1,40.9,0
PLRG1,40.9,0
HSPA6,40.9,0
BECN1,40.8,0
PEX2,40.8,0
TRAPPC2L,40.8,0
KRCC1,40.8,0
DDX23,40.8,0
IGHG3,40.8,0
FGL2,40.7,0
SPCS3,40.7,0
SIAE,40.6,0
IRF3,40.6,0
SAFB,40.6,0
CZIB,40.6,0
HSPB6,40.5,0
POLR2E,40.5,0
TIMM44,40.5,0
RARS1,40.5,0
AJUBA,40.5,0
TLN1,40.5,0
DBT,40.5,0
ATG3,40.5,0
SSRP1,40.5,0
SWI5,40.5,0
PUM2,40.4,0
SCAMP3,40.4,0
IFT43,40.4,0
PANK3,40.4,0
TACO1,40.4,0
EIF4E,40.4,0
C5orf24,40.4,0
SMIM15,40.4,0
SLC2A10,40.4,0
TAPBP,40.4,0
ZC3H7B,40.3,0
WBP1L,40.3,0
CETP,40.2,0
OLFM2,40.2,0
BUD31,40.2,0
SLC2A8,40.2,0
PTGES2,40.2,0
NTMT1,40.2,0
CFDP1,40.2,0
ANKRD37,40.2,0
CCL15,40.2,0
BCL7C,40.1,0
MET,40.1,0
GLRX3,40.1,0
OLA1,40.1,0
ARNT,40.1,0
RAB5A,40.1,0
RMND5A,40.1,0
IWS1,40.1,0
TERF2IP,40.1,0
DAG1,40.1,0
TCAIM,40.1,0
NAGK,40,0
PROSER2,40,0
AGL,40,0
IPO5,39.9,0
BCS1L,39.9,0
XRN2,39.9,0
POLRMT,39.9,0
NDFIP2,39.9,0
ATN1,39.9,0
USP34,39.9,0
MFN2,39.9,0
GALNT1,39.9,0
USE1,39.8,0
ERLEC1,39.8,0
FCGR2B,39.8,0
CENPB,39.8,0
EIF4A3,39.8,0
NT5DC1,39.8,0
HDHD5,39.7,0
XPO1,39.7,0
MTMR4,39.7,0
MAN2A1,39.7,0
SLC25A22,39.7,0
HLA-DRB5,39.7,0
HUWE1,39.6,0
MACF1,39.6,0
SCAF11,39.6,0
SCAMP2,39.6,0
PI4KB,39.6,0
S100P,39.6,0
EOLA2,39.6,0
MAPK14,39.5,0
ARPP19,39.5,0
SNX9,39.5,0
ARFIP2,39.5,0
SS18,39.5,0
ADGRV1,39.5,0
CLDN3,39.5,0
TRABD,39.5,0
SRI,39.4,0
CLDN14,39.4,0
PSMD1,39.4,0
CLDN7,39.4,0
YTHDF2,39.4,0
IGHJ4,39.4,0
FBXO3,39.3,0
UBE3A,39.3,0
GSN,39.3,0
GSTM4,39.3,0
CSNK1E,39.3,0
GSS,39.2,0
CHKA,39.2,0
C1orf162,39.2,0
SIDT2,39.2,0
DNAJC3,39.1,0
CCDC85B,39.1,0
SBNO2,39,0
HDAC1,39,0
RASGEF1B,39,0
C1QTNF1,39,0
ARAP1,39,0
AGAP9,39,0
PHYKPL,38.9,0
AKR1B10,38.9,0
IGHV3-33,38.9,0
PACSIN2,38.8,0
ZNRD2,38.8,0
TMEM63A,38.8,0
JPT2,38.8,0
NOP16,38.7,0
RBM23,38.7,0
ACTR1A,38.7,0
MED8,38.7,0
MYORG,38.7,0
DDX21,38.7,0
TOR1AIP2,38.7,0
ST7,38.6,0
CYP3A43,38.6,0
NCKAP1,38.6,0
DYNC1I2,38.6,0
SEC16B,38.6,0
FBXO44,38.6,0
PEA15,38.6,0
SLC27A4,38.6,0
MYO1C,38.6,0
SLC17A9,38.5,0
MOSPD3,38.5,0
TEX261,38.5,0
CMTM8,38.5,0
CITED4,38.5,0
QKI,38.4,0
WASHC3,38.4,0
ANKRD11,38.4,0
LSM1,38.4,0
IGKV2-28,38.4,0
SULT1A3,38.4,0
RDH10,38.3,0
SCRN2,38.3,0
RHOG,38.3,0
YTHDF3,38.3,0
MRC1,38.3,0
IFT20,38.2,0
SNRNP25,38.2,0
MBD6,38.2,0
FARSA,38.2,0
TSPYL2,38.2,0
IGLV2-11,38.2,0
NOP58,38.1,0
ERLIN2,38.1,0
MGAT2,38.1,0
NUDT4,38.1,0
TNK2,38,0
CS,38,0
SLC44A1,38,0
NOP56,38,0
IGKJ3,38,0
ITCH,37.9,0
MLPH,37.9,0
TSFM,37.9,0
RARA,37.9,0
ETS1,37.9,0
OGDH,37.8,0
GSTT2B,37.8,0
COX16,37.8,0
ASNSD1,37.8,0
CUL4A,37.8,0
ERVK3-1,37.8,0
PYCR2,37.8,0
RTN4RL2,37.8,0
BLNK,37.7,0
RPA3,37.7,0
AP3S2,37.7,0
MPEG1,37.7,0
LETMD1,37.6,0
APBB1IP,37.6,0
ATP5PB,37.6,0
CTSS,37.6,0
TAF13,37.6,0
TUBE1,37.5,0
RBX1,37.5,0
SCLY,37.5,0
MARCHF7,37.5,0
SP3,37.5,0
DCTN2,37.5,0
GTPBP6,37.5,0
ZDHHC9,37.5,0
ARSD,37.4,0
PNPLA4,37.4,0
TM9SF1,37.4,0
ACSS3,37.4,0
WWC1,37.4,0
TEX30,37.4,0
DDX19B,37.4,0
NFIA,37.4,0
YY1AP1,37.4,0
BDH2,37.4,0
PTPN18,37.3,0
EDEM2,37.3,0
TMEM33,37.3,0
ATL2,37.3,0
CAPRIN1,37.3,0
WDR45B,37.3,0
SYNPO,37.3,0
HSPBP1,37.2,0
KIF12,37.2,0
MED11,37.2,0
ZNF768,37.2,0
TMEM9B,37.2,0
ENTPD6,37.2,0
DYNC2I2,37.1,0
HILPDA,37.1,0
TMEM63B,37.1,0
SFXN5,37.1,0
ZNF513,37.1,0
ABCE1,37.1,0
HDAC3,37.1,0
SLC39A11,37,0
PLA1A,37,0
GAS2,37,0
BAG3,37,0
SLC20A2,37,0
DIABLO,37,0
SRXN1,37,0
STX4,36.9,0
MFSD1,36.9,0
COQ10A,36.9,0
ZHX1,36.9,0
NFU1,36.9,0
SMIM20,36.9,0
PHKA2,36.8,0
CHAD,36.8,0
SHF,36.8,0
MPI,36.8,0
RBM14,36.8,0
KAT2B,36.7,0
MRPL44,36.7,0
ABHD3,36.7,0
BCL7B,36.6,0
SUPT7L,36.6,0
SLC25A23,36.6,0
FAM13A,36.6,0
TPRKB,36.6,0
SMN1,36.6,0
HCLS1,36.6,0
SH2D4A,36.5,0
STK11,36.5,0
ADAMTS1,36.5,0
PEX11A,36.5,0
FAM102A,36.5,0
SH2B1,36.5,0
THAP7,36.5,0
HLA-DPB1,36.5,0
FUBP3,36.4,0
MRPS27,36.4,0
SNX6,36.4,0
EIF5B,36.4,0
RSL1D1,36.4,0
PARP10,36.4,0
ADGRL2,36.3,0
CSTA,36.3,0
MLLT1,36.3,0
MEGF9,36.2,0
PLEKHA1,36.2,0
NDUFAF1,36.2,0
SLC9B2,36.2,0
ERCC1,36.1,0
NR5A2,36.1,0
RSRP1,36.1,0
BOLA3,36.1,0
ZNF22,36.1,0
MRPS16,36.1,0
RPP21,36.1,0
OTUD5,36,0
RAB11FIP3,36,0
SGSM3,36,0
ARFRP1,36,0
PFDN1,36,0
GLYR1,36,0
RIC8A,36,0
ZNF395,36,0
IPO7,36,0
TUT7,35.9,0
ZMPSTE24,35.9,0
ATG101,35.9,0
PEX5,35.9,0
TOR1AIP1,35.9,0
TK2,35.9,0
STIM1,35.9,0
FAM89B,35.9,0
CCDC159,35.9,0
AK1,35.8,0
CHD1L,35.8,0
VPS51,35.8,0
PALM2AKAP2,35.8,0
AR,35.8,0
DHPS,35.7,0
EML4,35.7,0
MEPCE,35.7,0
UHMK1,35.7,0
TMEM150A,35.7,0
PLEC,35.7,0
SELENOM,35.7,0
CPNE1,35.7,0
ENSG00000285976,35.7,0
NGEF,35.6,0
MAPRE3,35.6,0
CCDC198,35.6,0
SF3A2,35.6,0
LRP3,35.6,0
POLE3,35.6,0
MIDN,35.6,0
EXOSC4,35.6,0
AMZ2,35.6,0
CYB561D2,35.5,0
MBD4,35.5,0
MRPS36,35.5,0
TRIM55,35.5,0
EBAG9,35.5,0
INPPL1,35.5,0
HLA-DQB1,35.5,0
IST1,35.5,0
DRG1,35.5,0
C8orf82,35.5,0
ATOSA,35.4,0
TTC17,35.4,0
FBXW4,35.4,0
UCHL5,35.4,0
CAMK1,35.4,0
NAB1,35.4,0
PGAP3,35.4,0
MAP2K1,35.4,0
PRPF40A,35.4,0
PIGV,35.3,0
DLGAP4,35.3,0
PSMD11,35.3,0
TFB2M,35.3,0
HMGB2,35.3,0
SERPINB8,35.3,0
SS18L1,35.3,0
SLC25A29,35.3,0
DHX16,35.3,0
DDX47,35.3,0
NFS1,35.3,0
SLC35C2,35.2,0
NAA10,35.2,0
ATP6V1A,35.2,0
ARMT1,35.2,0
SSBP3,35.2,0
MTFP1,35.2,0
RRP36,35.1,0
ITM2C,35.1,0
CWC15,35.1,0
CRADD,35.1,0
MRPS10,35,0
SUPT6H,35,0
MPP1,35,0
CCNH,35,0
NOLC1,35,0
SNRPD1,35,0
C14orf119,35,0
CDKN1B,34.9,0
COQ10B,34.9,0
SLC35A3,34.9,0
OSER1,34.9,0
UBALD2,34.9,0
IGKV1-33,34.9,0
TMPO,34.8,0
SHLD2,34.8,0
FOXA2,34.8,0
RMDN3,34.8,0
NSMF,34.8,0
MAN2A2,34.8,0
GOLGA8B,34.8,0
LSM14A,34.8,0
POLR2J3,34.8,0
SAMM50,34.7,0
HBP1,34.7,0
SULT1E1,34.7,0
SLC19A2,34.7,0
SLC17A3,34.7,0
IL33,34.7,0
AKR7L,34.7,0
SPOP,34.6,0
SLC25A44,34.6,0
GPC1,34.5,0
DBH,34.5,0
DHX9,34.5,0
CAB39,34.5,0
DNAJC1,34.5,0
TMEM175,34.4,0
EPO,34.4,0
N4BP2L2,34.4,0
NSUN2,34.3,0
VAPA,34.3,0
SALL1,34.3,0
DMAC2,34.3,0
VAPB,34.3,0
UBAP2L,34.3,0
ZDHHC5,34.3,0
MYO9B,34.2,0
COL1A1,34.2,0
COMMD9,34.2,0
INO80B,34.2,0
SLC3A1,34.2,0
CRTC2,34.2,0
BSCL2,34.2,0
COA6,34.2,0
GGNBP2,34.2,0
ZC3H14,34.1,0
LPGAT1,34.1,0
SUGT1,34.1,0
TMUB2,34.1,0
TMEM134,34.1,0
GMPPB,34.1,0
ULK1,34.1,0
IGKV3-15,34.1,0
ENSG00000272617,34.1,0
SMIM24,34,0
VRK3,34,0
PDCD10,34,0
FBXO2,34,0
WIPI2,34,0
ACSF2,34,0
SREBF2,34,0
FAM156A,34,0
BPNT2,33.9,0
OLFML3,33.9,0
SPP1,33.9,0
NCOR1,33.9,0
COQ8A,33.9,0
H2AC6,33.9,0
IGLV3-21,33.9,0
ZDHHC8,33.8,0
CDK16,33.8,0
CRYAB,33.8,0
PDCD4,33.8,0
AGFG1,33.8,0
SLC16A13,33.8,0
THPO,33.7,0
GORASP1,33.7,0
CGNL1,33.7,0
DNAJA2,33.6,0
ASCC2,33.6,0
UBA2,33.6,0
SLC22A3,33.6,0
GTF3C5,33.6,0
C4orf19,33.6,0
CDK3,33.6,0
HYAL2,33.5,0
TBC1D17,33.5,0
TSPAN12,33.5,0
UBTF,33.5,0
FOXRED1,33.5,0
TENT5A,33.5,0
CNOT1,33.5,0
MRPL47,33.5,0
TOR1A,33.5,0
MEMO1,33.5,0
ZNHIT3,33.5,0
SNAP29,33.4,0
WDR59,33.4,0
STMN1,33.4,0
ITPA,33.4,0
ZDHHC4,33.4,0
C2orf74,33.4,0
GGCT,33.3,0
RAP1GAP,33.3,0
GATA4,33.3,0
MIEN1,33.3,0
PRCC,33.3,0
PHLDB2,33.3,0
TRA2A,33.3,0
BMI1,33.3,0
LARP7,33.3,0
CRCP,33.3,0
NUB1,33.2,0
CHDH,33.2,0
NMI,33.2,0
TMEM60,33.2,0
TMEM127,33.2,0
ARRB2,33.2,0
PLAC8,33.2,0
LRMDA,33.2,0
RILP,33.2,0
SMAD2,33.2,0
CLN3,33.2,0
RXRB,33.2,0
CLN5,33.1,0
ZFAND1,33.1,0
CXXC1,33.1,0
TPRA1,33.1,0
LMBRD1,33.1,0
SPNS1,33.1,0
TSEN34,33.1,0
OPLAH,33.1,0
NELFB,33.1,0
ABHD16A,33.1,0
HSBP1L1,33.1,0
CPOX,33,0
DDX18,33,0
AP1B1,33,0
GPR108,33,0
EIF2S1,33,0
PITPNA,33,0
ZFYVE21,32.9,0
FXR1,32.9,0
FAAH,32.9,0
SLC39A3,32.9,0
PARP1,32.9,0
WDR5,32.9,0
DYNLL2,32.9,0
AP2B1,32.8,0
SCFD1,32.8,0
HPS5,32.8,0
BTBD2,32.8,0
EMP1,32.8,0
PEX14,32.8,0
SNAPC5,32.8,0
CROT,32.7,0
CYTH1,32.7,0
SLC1A2,32.7,0
PDZD11,32.7,0
SLTM,32.7,0
CLEC3B,32.7,0
TMCC1,32.7,0
NRBP2,32.7,0
NEDD4L,32.6,0
UNC119,32.6,0
NUP214,32.6,0
LRRC41,32.6,0
USP12,32.6,0
BUB3,32.6,0
PSMG3,32.6,0
PPFIBP2,32.6,0
HSPA4,32.6,0
THOC3,32.5,0
LIPG,32.5,0
CNOT2,32.5,0
TNFRSF10B,32.5,0
TMEM115,32.5,0
GSTA4,32.5,0
TTC3,32.5,0
NOC2L,32.5,0
IGHA2,32.5,0
PRKAG2,32.4,0
RETREG3,32.4,0
TCEAL9,32.4,0
ZMYND11,32.3,0
WDR18,32.3,0
RAPGEF4,32.3,0
SMARCB1,32.3,0
SEC24A,32.3,0
SRRM1,32.3,0
IPO8,32.3,0
PNPLA8,32.3,0
ATIC,32.3,0
LUM,32.3,0
PIGR,32.3,0
RBM47,32.3,0
MLST8,32.3,0
HDAC2,32.3,0
EIF3CL,32.3,0
MRPL45,32.3,0
NFYC,32.2,0
CHMP2B,32.2,0
DDX24,32.2,0
IGFBP5,32.2,0
ACY3,32.2,0
EGFR,32.2,0
CSTF3,32.2,0
COPS8,32.2,0
BTBD1,32.1,0
CPPED1,32.1,0
GOSR2,32.1,0
ABHD10,32.1,0
ZBTB8OS,32.1,0
NUDT16,32.1,0
MAPK1,32,0
CINP,32,0
DDX6,32,0
SAFB2,32,0
CCAR2,32,0
NDUFAF2,32,0
IRF2,32,0
GPR137,32,0
TM6SF2,32,0
AIMP2,31.9,0
CRBN,31.9,0
RGS5,31.9,0
NIFK,31.9,0
FAM20C,31.9,0
C6orf89,31.9,0
PPP1R10,31.9,0
JKAMP,31.8,0
BCAP29,31.8,0
TRMT2A,31.8,0
COQ6,31.8,0
PSME3,31.8,0
RITA1,31.8,0
SNAPIN,31.8,0
LARP1,31.8,0
MFSD12,31.8,0
STARD4,31.8,0
GFM2,31.8,0
GBA1,31.8,0
KIAA1671,31.8,0
SDHAF1,31.8,0
ATF6B,31.8,0
POLB,31.7,0
CFAP20,31.7,0
MAEA,31.7,0
VIPR1,31.7,0
WRNIP1,31.7,0
SEPTIN11,31.7,0
CYB561A3,31.7,0
SLBP,31.7,0
PSMB9,31.7,0
SEC22B,31.7,0
SPPL2B,31.6,0
USP10,31.6,0
EML3,31.6,0
FLAD1,31.6,0
MRPL1,31.6,0
PAK2,31.6,0
TM9SF4,31.5,0
NMT1,31.5,0
ABCA8,31.5,0
EPHB4,31.5,0
IYD,31.4,0
SNW1,31.4,0
PRELID3B,31.4,0
DNASE2,31.4,0
TXNDC15,31.4,0
DNPEP,31.4,0
AASDHPPT,31.4,0
SPHK2,31.3,0
YTHDC1,31.3,0
B4GALT2,31.3,0
SIRT5,31.3,0
YAP1,31.3,0
CCDC12,31.3,0
WDR81,31.3,0
ZNF32,31.3,0
LRRC20,31.3,0
TMPRSS2,31.3,0
DDX42,31.3,0
CAPZA2,31.3,0
SRA1,31.3,0
LRCH4,31.2,0
FOLH1,31.2,0
XYLB,31.2,0
SEC23B,31.2,0
PSMD10,31.2,0
PDS5A,31.2,0
MAPRE2,31.2,0
FIBP,31.2,0
GET1,31.2,0
TMEM50A,31.2,0
UBE2G2,31.2,0
C1D,31.2,0
MYO15B,31.2,0
IL17RB,31.1,0
UBE2R2,31.1,0
