GeneSymbol_Mouse,GeneSymbol_Human,Source,Daneman_Filter,In_Walchli_EC,In_Yang_EC,In_Winkler_EC,Human_BBB_Datasets_N
Cdh11,CDH11,Daneman,liver_and_lung,TRUE,FALSE,TRUE,2
Cdh2,CDH2,Both,lung_only,TRUE,FALSE,TRUE,2
Cdipt,CDIPT,Daneman,lung_only,TRUE,FALSE,FALSE,1
Cdk4,CDK4,Daneman,lung_only,TRUE,FALSE,FALSE,1
Cdk5rap3,CDK5RAP3,Daneman,lung_only,TRUE,FALSE,FALSE,1
Cdr2,CDR2,Daneman,lung_only,TRUE,FALSE,FALSE,1
Cds2,CDS2,Daneman,liver_only,TRUE,FALSE,FALSE,1
Cdv3,CDV3,Daneman,lung_only,TRUE,FALSE,FALSE,1
Ceacam2,CEACAM1,Both,liver_only,TRUE,FALSE,FALSE,1
Cebpg,CEBPG,Daneman,liver_only,TRUE,FALSE,FALSE,1
Cenpa,CENPA,Daneman,lung_only,TRUE,FALSE,FALSE,1
Cep164,CEP164,Munji,NA,TRUE,FALSE,FALSE,1
Cep97,CEP97,Munji,NA,TRUE,FALSE,FALSE,1
Cept1,CEPT1,Daneman,liver_only,TRUE,FALSE,FALSE,1
Cerk,CERK,Daneman,lung_only,TRUE,FALSE,FALSE,1
Cfh,CFH,Daneman,liver_only,TRUE,TRUE,TRUE,3
Cflar,CFLAR,Daneman,liver_only,TRUE,FALSE,TRUE,2
Cggbp1,CGGBP1,Daneman,lung_only,TRUE,FALSE,FALSE,1
Ch25h,CH25H,Daneman,liver_only,TRUE,FALSE,TRUE,2
Chd6,CHD6,Daneman,liver_only,TRUE,FALSE,FALSE,1
Chmp6,CHMP6,Daneman,lung_only,TRUE,FALSE,FALSE,1
Chn2,CHN2,Daneman,liver_only,TRUE,FALSE,FALSE,1
Chst1,CHST1,Daneman,lung_only,TRUE,FALSE,FALSE,1
Chst7,CHST7,Daneman,lung_only,TRUE,FALSE,FALSE,1
Ckap4,CKAP4,Daneman,lung_only,TRUE,FALSE,FALSE,1
Cklf,CKLF,Daneman,lung_only,TRUE,FALSE,FALSE,1
Cks1b,CKS1B,Daneman,lung_only,TRUE,FALSE,FALSE,1
Cks2,CKS2,Daneman,lung_only,TRUE,FALSE,FALSE,1
Clcc1,CLCC1,Daneman,liver_only,TRUE,FALSE,FALSE,1
Cldn6,CLDN6,Munji,NA,TRUE,FALSE,FALSE,1
Clec14a,CLEC14A,Daneman,lung_only,TRUE,FALSE,TRUE,2
Clec1a,CLEC1A,Daneman,lung_only,TRUE,FALSE,TRUE,2
Clic4,CLIC4,Daneman,liver_only,TRUE,FALSE,FALSE,1
Clic5,CLIC5,Daneman,liver_only,TRUE,FALSE,FALSE,1
Clock,CLOCK,Daneman,liver_only,TRUE,FALSE,FALSE,1
Clstn1,CLSTN1,Daneman,liver_only,TRUE,FALSE,FALSE,1
Clta,CLTA,Daneman,lung_only,TRUE,FALSE,FALSE,1
Cnih4,CNIH4,Daneman,liver_only,TRUE,FALSE,FALSE,1
Cnn3,CNN3,Daneman,lung_only,TRUE,FALSE,FALSE,1
Cnnm2,CNNM2,Munji,NA,TRUE,FALSE,FALSE,1
Cnot6l,CNOT6L,Munji,NA,TRUE,FALSE,TRUE,2
Cnot8,CNOT8,Daneman,lung_only,TRUE,FALSE,TRUE,2
Cnr2,CNR2,Daneman,lung_only,TRUE,FALSE,FALSE,1
Cntrob,CNTROB,Munji,NA,TRUE,FALSE,FALSE,1
Cobll1,COBLL1,Munji,NA,TRUE,TRUE,TRUE,3
Col14a1,COL14A1,Daneman,liver_only,TRUE,FALSE,TRUE,2
Col18a1,COL18A1,Daneman,lung_only,TRUE,FALSE,TRUE,2
Col1a2,COL1A2,Daneman,liver_and_lung,TRUE,FALSE,TRUE,2
Col3a1,COL3A1,Daneman,liver_and_lung,TRUE,FALSE,TRUE,2
Col4a2,COL4A2,Daneman,lung_only,TRUE,FALSE,TRUE,2
Col4a3bp,COL4A3BP,Both,liver_only,TRUE,FALSE,FALSE,1
Col5a2,COL5A2,Daneman,liver_and_lung,TRUE,FALSE,FALSE,1
Gm684,COLCA2,Munji,NA,TRUE,FALSE,FALSE,1
Commd3,COMMD3,Daneman,lung_only,TRUE,FALSE,FALSE,1
Commd4,COMMD4,Daneman,lung_only,TRUE,FALSE,FALSE,1
Commd8,COMMD8,Daneman,lung_only,TRUE,FALSE,FALSE,1
Cops4,COPS4,Daneman,lung_only,TRUE,FALSE,FALSE,1
Cops5,COPS5,Daneman,lung_only,TRUE,FALSE,FALSE,1
Cops6,COPS6,Daneman,lung_only,TRUE,FALSE,FALSE,1
Copz2,COPZ2,Daneman,liver_only,TRUE,FALSE,FALSE,1
Coq7,COQ7,Daneman,lung_only,TRUE,FALSE,FALSE,1
Coro1a,CORO1A,Daneman,lung_only,TRUE,FALSE,FALSE,1
Coro1c,CORO1C,Daneman,lung_only,TRUE,FALSE,FALSE,1
Cotl1,COTL1,Daneman,lung_only,TRUE,FALSE,FALSE,1
