GeneSymbol_Mouse,GeneSymbol_Human,Source,Daneman_Filter,In_Walchli_EC,In_Yang_EC,In_Winkler_EC,Human_BBB_Datasets_N
Cachd1,CACHD1,Both,lung_only,TRUE,FALSE,TRUE,2
Capn2,CAPN2,Daneman,liver_only,TRUE,FALSE,FALSE,1
Capzb,CAPZB,Daneman,lung_only,TRUE,FALSE,FALSE,1
Card10,CARD10,Daneman,liver_only,TRUE,FALSE,FALSE,1
Caskin2,CASKIN2,Daneman,liver_only,TRUE,FALSE,FALSE,1
Casp3,CASP3,Daneman,lung_only,TRUE,FALSE,FALSE,1
Casp6,CASP6,Daneman,lung_only,TRUE,FALSE,FALSE,1
Casp7,CASP7,Daneman,lung_only,TRUE,FALSE,FALSE,1
Casp8,CASP8,Daneman,lung_only,TRUE,FALSE,FALSE,1
Casp8ap2,CASP8AP2,Daneman,liver_only,TRUE,FALSE,FALSE,1
Casq2,CASQ2,Daneman,liver_and_lung,TRUE,FALSE,TRUE,2
Cast,CAST,Daneman,liver_only,TRUE,FALSE,FALSE,1
Cat,CAT,Daneman,lung_only,TRUE,FALSE,FALSE,1
Cav2,CAV2,Daneman,liver_only,TRUE,FALSE,FALSE,1
Cbr3,CBR3,Daneman,liver_only,TRUE,FALSE,FALSE,1
Ccdc106,CCDC106,Munji,NA,TRUE,FALSE,FALSE,1
Ccdc141,CCDC141,Munji,NA,TRUE,FALSE,FALSE,1
Ccdc23,CCDC23,Daneman,lung_only,FALSE,FALSE,FALSE,0
Ccdc28a,CCDC28A,Daneman,liver_only,TRUE,FALSE,FALSE,1
Ccdc28b,CCDC28B,Daneman,lung_only,TRUE,FALSE,FALSE,1
Ccdc61,CCDC61,Munji,NA,TRUE,FALSE,FALSE,1
Ccdc85c,CCDC85C,Munji,NA,TRUE,FALSE,FALSE,1
Ccdc92,CCDC92,Munji,NA,TRUE,FALSE,FALSE,1
Ccnd1,CCND1,Daneman,lung_only,TRUE,FALSE,FALSE,1
Ccnd2,CCND2,Daneman,lung_only,TRUE,FALSE,FALSE,1
Ccng2,CCNG2,Munji,NA,TRUE,FALSE,FALSE,1
Cct2,CCT2,Daneman,lung_only,TRUE,FALSE,FALSE,1
Cd1d1,CD1D,Daneman,lung_only,TRUE,FALSE,FALSE,1
Cd200,CD200,Daneman,liver_only,TRUE,FALSE,FALSE,1
Cd248,CD248,Daneman,liver_and_lung,TRUE,FALSE,FALSE,1
Cd2ap,CD2AP,Daneman,liver_only,TRUE,FALSE,TRUE,2
Cd302,CD302,Daneman,liver_and_lung,TRUE,FALSE,FALSE,1
Cd320,CD320,Both,lung_only,TRUE,FALSE,TRUE,2
Cd38,CD38,Daneman,lung_only,TRUE,FALSE,FALSE,1
Cd3eap,CD3EAP,Munji,NA,TRUE,FALSE,FALSE,1
Cd40,CD40,Daneman,lung_only,TRUE,FALSE,FALSE,1
Cd47,CD47,Daneman,liver_only,TRUE,FALSE,FALSE,1
Cd82,CD82,Daneman,lung_only,TRUE,FALSE,FALSE,1
Cdc14a,CDC14A,Daneman,liver_only,TRUE,FALSE,TRUE,2
Cdc20,CDC20,Daneman,lung_only,TRUE,FALSE,FALSE,1
Cdc23,CDC23,Daneman,liver_and_lung,TRUE,FALSE,FALSE,1
Cdc37l1,CDC37L1,Daneman,liver_only,TRUE,FALSE,FALSE,1
Cdc42ep3,CDC42EP3,Munji,NA,TRUE,FALSE,FALSE,1
Cdc42se1,CDC42SE1,Munji,NA,TRUE,FALSE,FALSE,1
Cdca4,CDCA4,Daneman,lung_only,TRUE,FALSE,FALSE,1
Cdca8,CDCA8,Daneman,lung_only,TRUE,FALSE,FALSE,1
